geolocation,recclass,fall,reclong,id,nametype,year,reclat,mass,name
"{'type': 'Point', 'coordinates': [20.23333, 43.76667]}",Stone-uncl,Fell,20.233330,11440,Valid,1891-01-01T00:00:00.000,43.766670,1915,Guêa
"{'type': 'Point', 'coordinates': [-0.68333, 13.5]}",L5,Fell,-0.683330,11442,Valid,1972-01-01T00:00:00.000,13.500000,288,Guibga
"{'type': 'Point', 'coordinates': [13.98333, 9.91667]}",LL5,Fell,13.983330,11443,Valid,1949-01-01T00:00:00.000,9.916670,968,Guidder
"{'type': 'Point', 'coordinates': [76.05, 22.98333]}",H5,Fell,76.050000,11448,Valid,1982-01-01T00:00:00.000,22.983330,2449,Gujargaon
"{'type': 'Point', 'coordinates': [11.65833, 11.49167]}",CBa,Fell,11.658330,11449,Valid,1984-01-01T00:00:00.000,11.491670,100000,Gujba
"{'type': 'Point', 'coordinates': [24.7, 42.9]}",H5,Fell,24.700000,11450,Valid,1904-01-01T00:00:00.000,42.900000,5700,Gumoschnik
"{'type': 'Point', 'coordinates': [78.56667, 13.78333]}",L6,Fell,78.566670,11464,Valid,1814-01-01T00:00:00.000,13.783330,28,Gurram Konda
"{'type': 'Point', 'coordinates': [42.41667, 9.36667]}",H4/5,Fell,42.416670,11465,Valid,1981-01-01T00:00:00.000,9.366670,34650,Gursum
"{'type': 'Point', 'coordinates': [8.38333, 51.91667]}",H3/4,Fell,8.383330,11466,Valid,1851-01-01T00:00:00.000,51.916670,1000,Gütersloh
"{'type': 'Point', 'coordinates': [127.5, 35]}",OC,Fell,127.500000,11467,Valid,1930-01-01T00:00:00.000,35.000000,1320,Gyokukei
"{'type': 'Point', 'coordinates': [139.33333, 35.65]}",H?,Fell,139.333330,11468,Valid,1817-01-01T00:00:00.000,35.650000,0.2,Hachi-oji
"{'type': 'Point', 'coordinates': [3.73333, 50.31667]}",H3-6,Fell,3.733330,11472,Valid,1934-01-01T00:00:00.000,50.316670,9000,Hainaut
"{'type': 'Point', 'coordinates': [16.23333, 57.81667]}",L3.4,Fell,16.233330,11479,Valid,1944-01-01T00:00:00.000,57.816670,1456,Hallingeberg
"{'type': 'Point', 'coordinates': [-86.6, 41.38333]}",LL4,Fell,-86.600000,11485,Valid,1959-01-01T00:00:00.000,41.383330,3710,Hamlet
"{'type': 'Point', 'coordinates': [82.53333, 26.8]}",Eucrite-mmict,Fell,82.533330,11824,Valid,1878-01-01T00:00:00.000,26.800000,1000,Haraiya
"{'type': 'Point', 'coordinates': [75.78333, 28.38333]}",CM2,Fell,75.783330,11829,Valid,1921-01-01T00:00:00.000,28.383330,315,Haripura
"{'type': 'Point', 'coordinates': [-94.51167, 32.675]}",L6,Fell,-94.511670,11830,Valid,1961-01-01T00:00:00.000,32.675000,8360,Harleton
"{'type': 'Point', 'coordinates': [-86.16667, 38.25]}",L6,Fell,-86.166670,11842,Valid,1859-01-01T00:00:00.000,38.250000,680,Harrison County
"{'type': 'Point', 'coordinates': [136.70033, 35.2945]}",H4,Fell,136.700330,11848,Valid,1910-01-01T00:00:00.000,35.294500,1110.5999999999999,Hashima
"{'type': 'Point', 'coordinates': [0.81667, 28.95]}","Iron, IAB-sHL",Fell,0.816670,11852,Valid,1890-01-01T00:00:00.000,28.950000,1250,Hassi-Jekna
"{'type': 'Point', 'coordinates': [-1.51667, 51.65]}",Stone-uncl,Fell,-1.516670,11855,Valid,1628-01-01T00:00:00.000,51.650000,29000,Hatford
"{'type': 'Point', 'coordinates': [22.06194, 60.24556]}",Ureilite,Fell,22.061940,11859,Valid,1971-01-01T00:00:00.000,60.245560,1544,Haverö
"{'type': 'Point', 'coordinates': [13.78333, 55.46667]}",H5,Fell,13.783330,11869,Valid,1922-01-01T00:00:00.000,55.466670,3500,Hedeskoga
"{'type': 'Point', 'coordinates': [35.66667, 27.33333]}",L3.7-6,Fell,35.666670,11870,Valid,1910-01-01T00:00:00.000,27.333330,6100,Hedjaz
"{'type': 'Point', 'coordinates': [-84.1, 10]}",H5,Fell,-84.100000,11875,Valid,1857-01-01T00:00:00.000,10.000000,1000,Heredia
"{'type': 'Point', 'coordinates': [17.66667, 59.85]}",H5,Fell,17.666670,11878,Valid,1869-01-01T00:00:00.000,59.850000,20000,Hessle
"{'type': 'Point', 'coordinates': [130.43333, 33.6]}",H5,Fell,130.433330,11883,Valid,1897-01-01T00:00:00.000,33.600000,750,Higashi-koen
"{'type': 'Point', 'coordinates': [-4.23333, 55.9]}",L6,Fell,-4.233330,11884,Valid,1804-01-01T00:00:00.000,55.900000,4500,High Possil
"{'type': 'Point', 'coordinates': [132.38333, 34.45]}",H5,Fell,132.383330,11889,Valid,2003-01-01T00:00:00.000,34.450000,414,Hiroshima
"{'type': 'Point', 'coordinates': [31.47278, 1.345]}",H6,Fell,31.472780,44714,Valid,2003-01-01T00:00:00.000,1.345000,167.7,Hoima
"{'type': 'Point', 'coordinates': [21.2, 64.43333]}",L4,Fell,21.200000,11893,Valid,1954-01-01T00:00:00.000,64.433330,305.5,Hökmark
"{'type': 'Point', 'coordinates': [-110.18333, 34.9]}",L/LL6,Fell,-110.183330,11894,Valid,1912-01-01T00:00:00.000,34.900000,220000,Holbrook
"{'type': 'Point', 'coordinates': [38.41667, 9.06667]}",Stone-uncl,Fell,38.416670,11895,Valid,1923-01-01T00:00:00.000,9.066670,1415,Holetta
"{'type': 'Point', 'coordinates': [-91.86667, 41.8]}",L5,Fell,-91.866670,11901,Valid,1875-01-01T00:00:00.000,41.800000,230000,Homestead
"{'type': 'Point', 'coordinates': [-157.86667, 21.3]}",L5,Fell,-157.866670,11904,Valid,1825-01-01T00:00:00.000,21.300000,2420,Honolulu
"{'type': 'Point', 'coordinates': [115.5, 35.66667]}",L6,Fell,115.500000,11913,Valid,1956-01-01T00:00:00.000,35.666670,180,Hotse
"{'type': 'Point', 'coordinates': [-100.45, 39.35]}",OC,Fell,-100.450000,11915,Valid,1963-01-01T00:00:00.000,39.350000,266.10000000000002,Hoxie
"{'type': 'Point', 'coordinates': [16.33333, 46.1]}","Iron, IID",Fell,16.333330,11916,Valid,1751-01-01T00:00:00.000,46.100000,49000,Hraschina
"{'type': 'Point', 'coordinates': [106.63241, 26.46469]}",H5,Fell,106.632410,54719,Valid,2010-01-01T00:00:00.000,26.464690,1600,Huaxi
"{'type': 'Point', 'coordinates': [8.91667, 50.3]}",H6,Fell,8.916670,11986,Valid,1877-01-01T00:00:00.000,50.300000,112,Hungen
"{'type': 'Point', 'coordinates': [22.68333, 61.18333]}",EL6,Fell,22.683330,11989,Valid,1901-01-01T00:00:00.000,61.183330,14000,Hvittis
"{'type': 'Point', 'coordinates': [7.7, 52.28333]}",Diogenite,Fell,7.700000,11992,Valid,1870-01-01T00:00:00.000,52.283330,2000,Ibbenbüren
"{'type': 'Point', 'coordinates': [-45, -20]}",Eucrite-mmict,Fell,-45.000000,11993,Valid,1957-01-01T00:00:00.000,-20.000000,2500,Ibitira
"{'type': 'Point', 'coordinates': [35, 38]}",OC,Fell,35.000000,11994,Valid,1949-01-01T00:00:00.000,38.000000,,Ibrisim
"{'type': 'Point', 'coordinates': [82.93333, 58.2]}",H6,Fell,82.933330,11995,Valid,1936-01-01T00:00:00.000,58.200000,3973,Ichkala
"{'type': 'Point', 'coordinates': [28.33333, -32.1]}",H5,Fell,28.333330,12000,Valid,1956-01-01T00:00:00.000,-32.100000,3457,Idutywa
"{'type': 'Point', 'coordinates': [-51.83333, -23.2]}",H5,Fell,-51.833330,12003,Valid,1977-01-01T00:00:00.000,-23.200000,1200,Iguaracu
"{'type': 'Point', 'coordinates': [145.36667, -6.03333]}",H6,Fell,145.366670,12004,Valid,1975-01-01T00:00:00.000,-6.033330,7330,Ijopega
"{'type': 'Point', 'coordinates': [46.66667, 39.75]}",EH4,Fell,46.666670,12027,Valid,1891-01-01T00:00:00.000,39.750000,27000,Indarch
"{'type': 'Point', 'coordinates': [-94.4, 39.08333]}",L6,Fell,-94.400000,12028,Valid,1917-01-01T00:00:00.000,39.083330,880,Independence
"{'type': 'Point', 'coordinates': [112, 41]}",L6,Fell,112.000000,12037,Valid,1963-01-01T00:00:00.000,41.000000,3000,Inner Mongolia
"{'type': 'Point', 'coordinates': [-111.3375, 53.415]}",L5,Fell,-111.337500,12039,Valid,1977-01-01T00:00:00.000,53.415000,4576,Innisfree
"{'type': 'Point', 'coordinates': [-54.5, -25.5]}",H6,Fell,-54.500000,12043,Valid,1972-01-01T00:00:00.000,-25.500000,7000,Ipiranga
"{'type': 'Point', 'coordinates': [33.8, -8.93333]}",H,Fell,33.800000,12049,Valid,1954-01-01T00:00:00.000,-8.933330,1300,Ishinga
"{'type': 'Point', 'coordinates': [-57.95, -31.18333]}",H5,Fell,-57.950000,12053,Valid,1928-01-01T00:00:00.000,-31.183330,3050,Isthilart
"{'type': 'Point', 'coordinates': [-44.33333, -3.4]}",H5,Fell,-44.333330,12056,Valid,1879-01-01T00:00:00.000,-3.400000,2024,Itapicuru-Mirim
"{'type': 'Point', 'coordinates': [-12.95217, 26.59083]}",EH7-an,Fell,-12.952170,12058,Valid,1990-01-01T00:00:00.000,26.590830,4720,Itqiy
"{'type': 'Point', 'coordinates': [32.43333, -8.41667]}",CI1,Fell,32.433330,12063,Valid,1938-01-01T00:00:00.000,-8.416670,704.5,Ivuna
"{'type': 'Point', 'coordinates': [21.9, -32.5]}",L6,Fell,21.900000,12065,Valid,1903-01-01T00:00:00.000,-32.500000,48000,Jackalsfontein
"{'type': 'Point', 'coordinates': [68.41667, 26.75]}",EL6,Fell,68.416670,12067,Valid,1926-01-01T00:00:00.000,26.750000,973,Jajh deh Kot Lalu
,Ureilite,Fell,,12068,Valid,1990-01-01T00:00:00.000,,700,Jalanash
"{'type': 'Point', 'coordinates': [75, 31]}",Iron,Fell,75.000000,12069,Valid,1621-01-01T00:00:00.000,31.000000,1967,Jalandhar
"{'type': 'Point', 'coordinates': [75.33333, 18.75]}",H6,Fell,75.333330,12072,Valid,1866-01-01T00:00:00.000,18.750000,22,Jamkheir
"{'type': 'Point', 'coordinates': [105.8, 39.7]}",L6,Fell,105.800000,12074,Valid,1979-01-01T00:00:00.000,39.700000,20500,Jartai
"{'type': 'Point', 'coordinates': [20.44167, 43.83333]}",LL6,Fell,20.441670,12078,Valid,1889-01-01T00:00:00.000,43.833330,34000,Jelica
,L6,Fell,,12079,Valid,1901-01-01T00:00:00.000,,450,Jemlapur
"{'type': 'Point', 'coordinates': [14.05217, 46.42137]}",L6,Fell,14.052170,51589,Valid,2009-01-01T00:00:00.000,46.421370,3667,Jesenice
"{'type': 'Point', 'coordinates': [72.38333, 31.3]}",L5,Fell,72.383330,12085,Valid,1873-01-01T00:00:00.000,31.300000,5900,Jhung
"{'type': 'Point', 'coordinates': [104.91667, 31.91667]}",H5,Fell,104.916670,12086,Valid,1964-01-01T00:00:00.000,31.916670,222,Jiange
"{'type': 'Point', 'coordinates': [109.5, 30.80833]}","Iron, IIIAB",Fell,109.500000,12087,Valid,1890-01-01T00:00:00.000,30.808330,600000,Jianshi
"{'type': 'Point', 'coordinates': [126.16667, 44.05]}",H5,Fell,126.166670,12171,Valid,1976-01-01T00:00:00.000,44.050000,4000000,Jilin
"{'type': 'Point', 'coordinates': [70.31333, 22.68]}",L5,Fell,70.313330,47362,Valid,2006-01-01T00:00:00.000,22.680000,100,Jodiya
"{'type': 'Point', 'coordinates': [24.4, 55.7]}",Howardite,Fell,24.400000,12173,Valid,1877-01-01T00:00:00.000,55.700000,30,Jodzie
"{'type': 'Point', 'coordinates': [-104.9, 40.35]}",Diogenite,Fell,-104.900000,12198,Valid,1924-01-01T00:00:00.000,40.350000,40300,Johnstown
"{'type': 'Point', 'coordinates': [15.83333, -11.85]}",LL6,Fell,15.833330,12199,Valid,1974-01-01T00:00:00.000,-11.850000,483,Jolomba
"{'type': 'Point', 'coordinates': [-0.45, 45.43333]}",Eucrite-mmict,Fell,-0.450000,12202,Valid,1819-01-01T00:00:00.000,45.433330,5000,Jonzac
"{'type': 'Point', 'coordinates': [115.41667, 35.5]}",H5,Fell,115.416670,12203,Valid,1997-01-01T00:00:00.000,35.500000,100000,Juancheng
"{'type': 'Point', 'coordinates': [76.8, 12.85]}",H6,Fell,76.800000,12207,Valid,1876-01-01T00:00:00.000,12.850000,680,Judesegeri
"{'type': 'Point', 'coordinates': [111.2, -7.71667]}",L6,Fell,111.200000,12209,Valid,1984-01-01T00:00:00.000,-7.716670,32490,Jumapalo
"{'type': 'Point', 'coordinates': [118.8, 35.2]}",L6,Fell,118.800000,12210,Valid,1976-01-01T00:00:00.000,35.200000,950,Junan
"{'type': 'Point', 'coordinates': [-7.27, 38.74028]}","Iron, IIIAB",Fell,-7.270000,12213,Valid,1968-01-01T00:00:00.000,38.740280,25250,Juromenha
"{'type': 'Point', 'coordinates': [4.3, 44.71667]}",Eucrite-mmict,Fell,4.300000,12214,Valid,1821-01-01T00:00:00.000,44.716670,91000,Juvinas
"{'type': 'Point', 'coordinates': [21.3, 47.35]}",CV3,Fell,21.300000,12218,Valid,1857-01-01T00:00:00.000,47.350000,3000,Kaba
"{'type': 'Point', 'coordinates': [8.21667, 11.85]}",H4,Fell,8.216670,12220,Valid,1971-01-01T00:00:00.000,11.850000,13400,Kabo
"{'type': 'Point', 'coordinates': [78.33333, 27.08333]}",H6,Fell,78.333330,12221,Valid,1822-01-01T00:00:00.000,27.083330,89,Kadonah
"{'type': 'Point', 'coordinates': [79.96667, 27.25]}",H5,Fell,79.966670,12222,Valid,1838-01-01T00:00:00.000,27.250000,230,Kaee
"{'type': 'Point', 'coordinates': [30.83333, 49.86667]}",L6,Fell,30.833330,12227,Valid,1908-01-01T00:00:00.000,49.866670,1900,Kagarlyk
"{'type': 'Point', 'coordinates': [48.3, 15]}",CR2,Fell,48.300000,12228,Valid,1980-01-01T00:00:00.000,15.000000,2000,Kaidun
"{'type': 'Point', 'coordinates': [53.25, 55.43333]}",CO3.2,Fell,53.250000,12229,Valid,1937-01-01T00:00:00.000,55.433330,200000,Kainsaz
"{'type': 'Point', 'coordinates': [78.51667, 12.38333]}",K3,Fell,78.516670,12230,Valid,1890-01-01T00:00:00.000,12.383330,350,Kakangari
"{'type': 'Point', 'coordinates': [21.66667, 45.13333]}",L6,Fell,21.666670,12231,Valid,1858-01-01T00:00:00.000,45.133330,577,Kakowa
"{'type': 'Point', 'coordinates': [29.5, -6.83333]}",H4,Fell,29.500000,12232,Valid,1951-01-01T00:00:00.000,-6.833330,950,Kalaba
"{'type': 'Point', 'coordinates': [73.98333, 17.83333]}",L6,Fell,73.983330,12236,Valid,1879-01-01T00:00:00.000,17.833330,4500,Kalumbi
"{'type': 'Point', 'coordinates': [81.46667, 26.03333]}",L6,Fell,81.466670,12238,Valid,1942-01-01T00:00:00.000,26.033330,2770,Kamalpur
"{'type': 'Point', 'coordinates': [139.95667, 36.04167]}",H5,Fell,139.956670,12240,Valid,1913-01-01T00:00:00.000,36.041670,448,Kamiomi
"{'type': 'Point', 'coordinates': [75.8, 14.18333]}",L6,Fell,75.800000,12241,Valid,1902-01-01T00:00:00.000,14.183330,1293,Kamsagar
"{'type': 'Point', 'coordinates': [65.78333, 31.6]}",L6,Fell,65.783330,12243,Valid,1959-01-01T00:00:00.000,31.600000,299,Kandahar (Afghanistan)
"{'type': 'Point', 'coordinates': [115.5, -7]}",H5,Fell,115.500000,12245,Valid,1908-01-01T00:00:00.000,-7.000000,1630,Kangean
"{'type': 'Point', 'coordinates': [76.3, 32.08333]}",H5,Fell,76.300000,12246,Valid,1897-01-01T00:00:00.000,32.083330,400,Kangra Valley
"{'type': 'Point', 'coordinates': [33.63333, 4.7]}",Howardite,Fell,33.633330,12251,Valid,1942-01-01T00:00:00.000,4.700000,11355,Kapoeta
"{'type': 'Point', 'coordinates': [73.22329, 20.33916]}",L5/6,Fell,73.223290,47357,Valid,2004-01-01T00:00:00.000,20.339160,1600,Kaprada
"{'type': 'Point', 'coordinates': [73.36667, 42.45]}",L6,Fell,73.366670,12253,Valid,1937-01-01T00:00:00.000,42.450000,3500,Kaptal-Aryk
"{'type': 'Point', 'coordinates': [81.01667, 47.21667]}",LL6,Fell,81.016670,12256,Valid,1840-01-01T00:00:00.000,47.216670,3000,Karakol
"{'type': 'Point', 'coordinates': [35.58333, -3.5]}",LL6,Fell,35.583330,12258,Valid,1963-01-01T00:00:00.000,-3.500000,2220,Karatu
"{'type': 'Point', 'coordinates': [7.15, 12.9]}",L6,Fell,7.150000,12260,Valid,1949-01-01T00:00:00.000,12.900000,180,Karewar
"{'type': 'Point', 'coordinates': [67.16667, 27.8]}",L6,Fell,67.166670,12262,Valid,1905-01-01T00:00:00.000,27.800000,22000,Karkh
"{'type': 'Point', 'coordinates': [71.6, 31.58333]}",L6,Fell,71.600000,12263,Valid,1955-01-01T00:00:00.000,31.583330,2950,Karloowala
"{'type': 'Point', 'coordinates': [139.91667, -35.08333]}",CK4,Fell,139.916670,12264,Valid,1930-01-01T00:00:00.000,-35.083330,41730,Karoonda
"{'type': 'Point', 'coordinates': [136.76667, 35.36667]}",H,Fell,136.766670,12266,Valid,1938-01-01T00:00:00.000,35.366670,710,Kasamatsu
"{'type': 'Point', 'coordinates': [77.58333, 29.58333]}",H4,Fell,77.583330,30740,Valid,2003-01-01T00:00:00.000,29.583330,16820,Kasauli
"{'type': 'Point', 'coordinates': [10.08333, 11.33333]}",L6,Fell,10.083330,35465,Valid,1999-01-01T00:00:00.000,11.333330,1500,Katagum
"{'type': 'Point', 'coordinates': [75.81333, 25.14333]}","Iron, IIE-an",Fell,75.813330,47351,Valid,2006-01-01T00:00:00.000,25.143330,6800,Kavarpura
"{'type': 'Point', 'coordinates': [31.78, 39.26333]}","Iron, IIIAB",Fell,31.780000,12268,Valid,1961-01-01T00:00:00.000,39.263330,85000,Kayakent
"{'type': 'Point', 'coordinates': [112.01667, -7.75]}",L4,Fell,112.016670,12270,Valid,1940-01-01T00:00:00.000,-7.750000,3300,Kediri
"{'type': 'Point', 'coordinates': [29.41822, 36.54194]}",L4,Fell,29.418220,53654,Valid,2008-01-01T00:00:00.000,36.541940,5760,Kemer
"{'type': 'Point', 'coordinates': [-96, 29.45]}",L4,Fell,-96.000000,12275,Valid,1939-01-01T00:00:00.000,29.450000,6937,Kendleton
"{'type': 'Point', 'coordinates': [86.70278, 20.4625]}",H4-5,Fell,86.702780,12276,Valid,2003-01-01T00:00:00.000,20.462500,6669.2,Kendrapara
"{'type': 'Point', 'coordinates': [-3.3, 48.4]}",H5,Fell,-3.300000,12282,Valid,1874-01-01T00:00:00.000,48.400000,5000,Kerilis
"{'type': 'Point', 'coordinates': [-3.08333, 48.11667]}",H6,Fell,-3.083330,12284,Valid,1869-01-01T00:00:00.000,48.116670,80000,Kernouve
"{'type': 'Point', 'coordinates': [141.61667, 38.98333]}",H4,Fell,141.616670,12286,Valid,1850-01-01T00:00:00.000,38.983330,135000,Kesen
"{'type': 'Point', 'coordinates': [72.3, 29.53333]}",EL6,Fell,72.300000,12288,Valid,1873-01-01T00:00:00.000,29.533330,13600,Khairpur
"{'type': 'Point', 'coordinates': [83.11667, 25.55]}",LL5,Fell,83.116670,12289,Valid,1932-01-01T00:00:00.000,25.550000,3698,Khanpur
"{'type': 'Point', 'coordinates': [35.075, 50.625]}",L6,Fell,35.075000,12291,Valid,1787-01-01T00:00:00.000,50.625000,1500,Kharkov
"{'type': 'Point', 'coordinates': [77.88333, 26.95]}",L6,Fell,77.883330,12294,Valid,1860-01-01T00:00:00.000,26.950000,450,Kheragur
"{'type': 'Point', 'coordinates': [75.81667, 28.01667]}",H6,Fell,75.816670,12296,Valid,1867-01-01T00:00:00.000,28.016670,100,Khetri
"{'type': 'Point', 'coordinates': [75.33333, 56.75]}",L5,Fell,75.333330,12297,Valid,1929-01-01T00:00:00.000,56.750000,6109,Khmelevka
"{'type': 'Point', 'coordinates': [81.53333, 25.1]}",L3.6,Fell,81.533330,12298,Valid,1910-01-01T00:00:00.000,25.100000,9700,Khohar
"{'type': 'Point', 'coordinates': [36, 16]}",Aubrite,Fell,36.000000,12299,Valid,1932-01-01T00:00:00.000,16.000000,3200,Khor Temiki
"{'type': 'Point', 'coordinates': [28, 14]}",H6,Fell,28.000000,12300,Valid,1983-01-01T00:00:00.000,14.000000,100000,Kidairat
"{'type': 'Point', 'coordinates': [10.15, 54.4]}",L6,Fell,10.150000,12301,Valid,1962-01-01T00:00:00.000,54.400000,737.6,Kiel
"{'type': 'Point', 'coordinates': [-11.33333, 16.58333]}",H5,Fell,-11.333330,12303,Valid,1970-01-01T00:00:00.000,16.583330,1500,Kiffa
"{'type': 'Point', 'coordinates': [138.38333, 36.85]}",Stone-uncl,Fell,138.383330,12305,Valid,1906-01-01T00:00:00.000,36.850000,331,Kijima (1906)
"{'type': 'Point', 'coordinates': [34, 55]}",H6,Fell,34.000000,12306,Valid,1809-01-01T00:00:00.000,55.000000,195,Kikino
"{'type': 'Point', 'coordinates': [9.8, 12.76667]}",LL6,Fell,9.800000,12307,Valid,2002-01-01T00:00:00.000,12.766670,19000,Kilabo
"{'type': 'Point', 'coordinates': [-89.6, 43.58333]}",H5,Fell,-89.600000,12308,Valid,1911-01-01T00:00:00.000,43.583330,772,Kilbourn
"{'type': 'Point', 'coordinates': [-7.66667, 54.66667]}",H6,Fell,-7.666670,12309,Valid,1844-01-01T00:00:00.000,54.666670,140,Killeter
"{'type': 'Point', 'coordinates': [24.68333, 11.63333]}",H6,Fell,24.683330,12316,Valid,1967-01-01T00:00:00.000,11.633330,67.400000000000006,Kingai
"{'type': 'Point', 'coordinates': [-95.95, 30.75]}",Eucrite-mmict,Fell,-95.950000,12321,Valid,1906-01-01T00:00:00.000,30.750000,97.7,Kirbyville
"{'type': 'Point', 'coordinates': [22.30833, 48.16667]}",L6,Fell,22.308330,12325,Valid,1914-01-01T00:00:00.000,48.166670,1550,Kisvarsány
"{'type': 'Point', 'coordinates': [-80.38333, 43.38333]}",L6,Fell,-80.383330,12326,Valid,1998-01-01T00:00:00.000,43.383330,202.6,Kitchener
"{'type': 'Point', 'coordinates': [10.8, 51.6]}",H6,Fell,10.800000,12332,Valid,1843-01-01T00:00:00.000,51.600000,3250,Klein-Wenden
"{'type': 'Point', 'coordinates': [22.4, 48.9]}",L/LL5,Fell,22.400000,12335,Valid,1866-01-01T00:00:00.000,48.900000,500000,Knyahinya
"{'type': 'Point', 'coordinates': [135.16667, 34.73333]}",CK4,Fell,135.166670,12336,Valid,1999-01-01T00:00:00.000,34.733330,136,Kobe
"{'type': 'Point', 'coordinates': [133.95, 34.3]}",L6,Fell,133.950000,12342,Valid,1986-01-01T00:00:00.000,34.300000,11510,Kokubunji
"{'type': 'Point', 'coordinates': [139.75, 35.73333]}",Iron,Fell,139.750000,12343,Valid,1926-01-01T00:00:00.000,35.733330,238,Komagome
"{'type': 'Point', 'coordinates': [26.16667, 42.51667]}",LL5,Fell,26.166670,12344,Valid,1931-01-01T00:00:00.000,42.516670,90,Konovo
"{'type': 'Point', 'coordinates': [21.17633, 48.76367]}",H5,Fell,21.176330,53810,Valid,2010-01-01T00:00:00.000,48.763670,4300,Košice
"{'type': 'Point', 'coordinates': [7.46472, 49.32694]}",LL5,Fell,7.464720,12353,Valid,1869-01-01T00:00:00.000,49.326940,16500,Krähenberg
"{'type': 'Point', 'coordinates': [40.9, 54.03333]}",L6,Fell,40.900000,12355,Valid,1829-01-01T00:00:00.000,54.033330,2440,Krasnoi-Ugol
"{'type': 'Point', 'coordinates': [56.08333, 54.33333]}",H5,Fell,56.083330,12357,Valid,1946-01-01T00:00:00.000,54.333330,4000,Krasnyi Klyuch
"{'type': 'Point', 'coordinates': [77, 56.8]}",OC,Fell,77.000000,12363,Valid,1906-01-01T00:00:00.000,56.800000,845.2,Krutikha
"{'type': 'Point', 'coordinates': [30.76667, 47.83333]}",LL3.2,Fell,30.766670,12364,Valid,1946-01-01T00:00:00.000,47.833330,50000,Krymka
"{'type': 'Point', 'coordinates': [31.7, 51.15]}",L6,Fell,31.700000,12368,Valid,1938-01-01T00:00:00.000,51.150000,2250,Kukschin
"{'type': 'Point', 'coordinates': [66.80222, 30.73111]}",L5,Fell,66.802220,12369,Valid,1961-01-01T00:00:00.000,30.731110,453.6,Kulak
"{'type': 'Point', 'coordinates': [33.5, 50.75]}",L6,Fell,33.500000,12370,Valid,1811-01-01T00:00:00.000,50.750000,6000,Kuleschovka
"{'type': 'Point', 'coordinates': [45, 41.11667]}",H6,Fell,45.000000,12373,Valid,1906-01-01T00:00:00.000,41.116670,3719,Kulp
"{'type': 'Point', 'coordinates': [61.36667, 55.78333]}",L6,Fell,61.366670,12377,Valid,1949-01-01T00:00:00.000,55.783330,200000,Kunashak
"{'type': 'Point', 'coordinates': [59.2, 42.25]}",H5,Fell,59.200000,12379,Valid,1998-01-01T00:00:00.000,42.250000,1100000,Kunya-Urgench
"{'type': 'Point', 'coordinates': [138.38333, 37.05]}",OC,Fell,138.383330,12381,Valid,1920-01-01T00:00:00.000,37.050000,4460,Kushiike
"{'type': 'Point', 'coordinates': [78.38333, 29.68333]}",L6,Fell,78.383330,12382,Valid,1860-01-01T00:00:00.000,29.683330,5,Kusiali
"{'type': 'Point', 'coordinates': [39.3, 44.51667]}",H5,Fell,39.300000,12383,Valid,1977-01-01T00:00:00.000,44.516670,23,Kutais
"{'type': 'Point', 'coordinates': [76.03333, 10.83333]}",L6,Fell,76.033330,12384,Valid,1914-01-01T00:00:00.000,10.833330,45000,Kuttippuram
"{'type': 'Point', 'coordinates': [75.33333, 55.2]}",L6,Fell,75.333330,12385,Valid,1932-01-01T00:00:00.000,55.200000,4047,Kuznetzovo
"{'type': 'Point', 'coordinates': [130.63333, 32.03333]}",L6,Fell,130.633330,12390,Valid,1886-01-01T00:00:00.000,32.033330,45000,Kyushu
"{'type': 'Point', 'coordinates': [1.75, 47.08333]}",L6,Fell,1.750000,12392,Valid,1879-01-01T00:00:00.000,47.083330,2800,La Bécasse
"{'type': 'Point', 'coordinates': [-101.28333, 20.66667]}",OC,Fell,-101.283330,12394,Valid,1878-01-01T00:00:00.000,20.666670,399,La Charca
"{'type': 'Point', 'coordinates': [-61.53333, -37.33333]}",H5,Fell,-61.533330,12395,Valid,1924-01-01T00:00:00.000,-37.333330,2000,La Colina
"{'type': 'Point', 'coordinates': [-58.16667, -31.23333]}",L6,Fell,-58.166670,12396,Valid,1985-01-01T00:00:00.000,-31.233330,45000,La Criolla
"{'type': 'Point', 'coordinates': [5.58333, 44.28333]}",H5,Fell,5.583330,12408,Valid,1871-01-01T00:00:00.000,44.283330,3833,Laborel
"{'type': 'Point', 'coordinates': [82.71667, 26.78333]}",Ureilite,Fell,82.716670,12433,Valid,1955-01-01T00:00:00.000,26.783330,900,Lahrauli
"{'type': 'Point', 'coordinates': [0.63333, 48.76667]}",L6,Fell,0.633330,12434,Valid,1803-01-01T00:00:00.000,48.766670,37000,L'Aigle
,Pallasite,Found,,32531,Valid,2003-01-01T00:00:00.000,,9.6,Cumulus Hills 04075
"{'type': 'Point', 'coordinates': [76.03333, 21.86667]}",Eucrite-mmict,Fell,76.033330,12435,Valid,1910-01-01T00:00:00.000,21.866670,212.5,Lakangaon
"{'type': 'Point', 'coordinates': [78.56667, 24.45]}",L6,Fell,78.566670,12451,Valid,1887-01-01T00:00:00.000,24.450000,372,Lalitpur
"{'type': 'Point', 'coordinates': [1.06667, 47.7]}",CO3.5,Fell,1.066670,12455,Valid,1872-01-01T00:00:00.000,47.700000,51700,Lancé
"{'type': 'Point', 'coordinates': [5.11667, 43.75]}",H6,Fell,5.116670,12456,Valid,1897-01-01T00:00:00.000,43.750000,7000,Lancon
